CVE_HOM_ACUIFERO,NOMBRE DE ACUÍFERO HOMOLOGADO
1416,VALLE DE GUADALUPE
2415,RÍO VERDE
1013,BUENOS AIRES
1442,MASCOTA
3105,PENÍNSULA DE YUCATÁN
3001,POZA RICA
1620,APATZINGÁN
2703,SAMARIA-CUNDUACÁN
2104,VALLE DE PUEBLA
1449,LAGUNAS
3222,EL CARDITO
2101,VALLE DE TECAMACHALCO
3216,SAIN ALTO
3204,VALPARAÍSO
0101,VALLE DE AGUASCALIENTES
3010,LOS NARANJOS
2702,LA CHONTALPA
0706,FRAYLESCA
0703,TUXTLA
2010,TUXTEPEC
1913,CHINA-GENERAL BRAVO
1703,ZACATEPEC
3018,JALAPA-COATEPEC
1607,CIENÉGA DE CHAPALA
3207,GARCÍA DE LA CADENA
1704,TEPALCINGO-AXOCHIAPAN
0704,OCOZOCOAUTLA
1459,JESÚS MARÍA
2501,RÍO FUERTE
0709,ACAPETAHUA
2615,RÍO SANTA CRUZ
0707,COMITÁN
2205,VALLE DE TEQUISQUIAPAN
0836,ALDAMA-SAN DIEGO
0601,COLIMA
3226,CHUPADEROS
1115,VALLE DE CELAYA
0809,LAGUNA DE MEXICANOS
0807,EL SAUZ-ENCINILLAS
0860,GUERRERO-YEPÓMERA
1108,CUENCA ALTA DEL RÍO LAJA
0819,LAGUNA LA VIEJA
2106,IXCAQUIXTLA
0816,ALDAMA-EL CUERVO
2807,VICTORIA-GÜEMEZ
0830,CHIHUAHUA-SACRAMENTO
0814,LAGUNA DE TARABILLAS
1447,YAHUALICA
0805,CUAUHTÉMOC
1107,SAN MIGUEL DE ALLENDE
1439,QUITUPÁN
2203,VALLE DE SAN JUAN DEL RÍO
1916,NAVIDAD-POTOSÍ-RAÍCES
2502,RÍO SINALOA
2201,VALLE DE QUERÉTARO
3213,VILLA GARCÍA
3232,ESPÍRITU SANTO
1502,IXTLAHUACA-ATLACOMULCO
1507,TEXCOCO
0607,EL COLOMO
0801,ASCENSIÓN
0612,MARABASCO
0842,ÁLAMO CHAPO
0808,JANOS
1601,MARAVATÍO-CONTEPEC-E. HUERTA
1614,URUAPAN
0825,EL SABINAL
0610,LA CENTRAL-PEÑA BLANCA
0821,FLORES MAGÓN-VILLA AHUMADA
0822,SANTA CLARA
0855,LAGUNA LOS ALAZANES
0840,VILLALBA
1803,VALLE SANTIAGO-SAN BLAS
1406,CIUDAD GUZMÁN
3211,VILLANUEVA
1501,VALLE DE TOLUCA
0511,REGIÓN MANZANERA-ZAPALINAMÉ
1924,EL CARMEN-SALINAS-VICTORIA
0710,SOCONUSCO
0804,BUENAVENTURA
1911,CAÑÓN DEL HUAJUCO
1405,OCOTLÁN
0829,JOSEFA ORTÍZ DE DOMÍNGUEZ
0207,GUADALUPE
0832,JIMÉNEZ-CAMARGO
0831,MEOQUI-DELICIAS
3206,TLALTENANGO-TEPECHITLÁN
0806,CASAS GRANDES
0605,VENUSTIANO CARRANZA
1613,CHURUMUCO
2514,EL CARRIZO
3225,CALERA
1422,ENCARNACIÓN
0615,ALZADA-TEPAMES
2809,ALDAMA-SOTO LA MARINA
3230,VILLA HIDALGO
0705,CINTALAPA
2103,ATLIXCO-IZÚCAR DE MATAMOROS
1401,ATEMAJAC
1120,PÉNJAMO-ABASOLO
3203,CORRALES
3218,CEDROS
3231,PINOS
1611,TACÁMBARO-TURICATO
1402,TOLUQUILLA
3229,LORETO
3008,COTAXTLA
1118,SALVATIERRA-ACÁMBARO
3006,COSTERA DE VERACRUZ
1119,IRAPUATO-VALLE
0844,VALLE DE ZARAGOZA
0102,VALLE DE CHICALOTE
1104,LAGUNA SECA
3020,COSTERA DEL PAPALOAPAN
3217,EL PALMAR
0835,TABALAOPA-ALDAMA
0803,BAJA BABÍCORA
2804,SAN CARLOS
3014,ÁLAMO-TUXPAN
2812,OCAMPO-ANTIGUO MORELOS
1212,EL NARANJITO
1450,SAN ISIDRO
1409,AMECA
